# Title:    JWST measured thermal background for observation planning: MIRI MRS
# Author:   Kate Rowlands (krowlands@stsci.edu) and Marshall Perrin (mperrin@stsci.edu)
# Date:     2026 May 07
# Version:  6.0
# Format:   comma separated variables (csv)
# Pedigree: This is a model thermal background for JWST derived from an ensemblee of in-flight
# background measurements. See Technical Reports by Rowlands and Cracraft for data and methods:
#    Rowlands et al. 2025   JWST-STScI-008978  "Monitoring the MIRI MRS Backgrounds"   
#    https://www.stsci.edu/files/live/sites/www/files/home/jwst/documentation/technical-documents/_documents/JWST-STScI-008978.pdf
#    Cracraft et al. 2025   JWST-STScI-008928  "Monitoring MIRI Imager Backgrounds"
#    https://www.stsci.edu/files/live/sites/www/files/home/jwst/documentation/technical-documents/_documents/JWST-STScI-008928.pdf
# The values here were obtained based on those methods iterated in May 2026 for the ensemble of data available then. 

# Measured background levels were obtained for each MIRI imager filter and various MRS wavelengths,
# for many datasets.  The estimated non-thermal background components (zodi, galaxy, stray light)
# were subtracted based on the JBT models.  This resulted in a set of estimated thermal background
# levels for Imager and MRS.  Splines were used to fit and scale the prior model curve
# thermal_curve_jwst_jrigby_4.0.csv to pass through the measured background levels at > 15 microns.
# This was done separately for the MIRI Imager and MRS measurements to accomodate their distinct
# background levels. 
# Columns: wavelength (micron) and equivalent sky radiance (MJy/SR)
# wave, thermal_flux
0.5,0.0
0.6,0.0
0.7,0.0
0.8,0.0
0.9,0.0
1.0,0.0
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,1.4984e-10
1.6,1.0504e-09
1.7,5.7928e-09
1.8,2.6160000000000004e-08
1.9,9.992e-08
2.0,3.3128e-07
2.1,9.728e-07
2.2,2.5728e-06
2.3,6.216e-06
2.4,1.3880000000000003e-05
2.5,2.8912000000000004e-05
2.6,5.6664e-05
2.7,0.00010520000000000001
2.8,0.00018616
2.9,0.00031544
3.0,0.0005144
3.1,0.0008104000000000001
3.2,0.0012360000000000001
3.3,0.0018336000000000003
3.4,0.0026504000000000002
3.5,0.0037424
3.6,0.0051704
3.7,0.0070048
3.8,0.00932
3.9,0.012192000000000001
4.0,0.015712
4.1,0.019960000000000002
4.2,0.025024000000000005
4.3,0.030992
4.4,0.03795200000000001
4.5,0.045992000000000005
4.6,0.055192
4.7,0.06563200000000001
4.8,0.07738400000000001
4.9,0.09048
5.0,0.10511999999999999
5.1,0.12112
5.2,0.13872
5.3,0.15792
5.4,0.17872
5.5,0.20120000000000002
5.6,0.22528000000000004
5.7,0.25104000000000004
5.8,0.2784
5.9,0.30752
6.0,0.33824000000000004
6.1,0.37064
6.2,0.40464000000000006
6.3,0.44024
6.4,0.47736
6.5,0.51608
6.6,0.55632
6.7,0.5980000000000001
6.8,0.64104
6.9,0.68552
7.0,0.7314400000000001
7.1,0.77856
7.2,0.8272
7.3,0.8768000000000001
7.4,0.9279999999999999
7.5,0.9800000000000001
7.6,1.0328
7.7,1.0872
7.8,1.1432
7.9,1.2000000000000002
8.0,1.2576
8.1,1.316
8.2,1.3760000000000001
8.3,1.4376
8.4,1.4992
8.5,1.5632000000000001
8.6,1.6272
8.7,1.6936
8.8,1.7608000000000001
8.9,1.8288000000000002
9.0,1.8992000000000002
9.1,1.9704000000000002
9.2,2.0432
9.3,2.1184000000000003
9.4,2.1952000000000003
9.5,2.2736
9.6,2.3544
9.7,2.4368
9.8,2.5224
9.9,2.6104000000000003
10.0,2.7008
10.1,2.7944
10.2,2.8904
10.3,2.9904
10.4,3.0944000000000003
10.5,3.2016
10.6,3.3136000000000005
10.7,3.4296
10.8,3.5504
10.9,3.676
11.0,3.8064
11.1,3.9432000000000005
11.2,4.0856
11.3,4.2344
11.4,4.3904000000000005
11.5,4.5528
11.6,4.7232
11.7,4.9008
11.8,5.0872
11.9,5.2824
12.0,5.4864
12.1,5.7
12.2,5.924
12.3,6.1592
12.4,6.404800000000001
12.5,6.6624
12.6,6.9319999999999995
12.7,7.214400000000001
12.8,7.509600000000001
12.9,7.8191999999999995
13.0,8.144
13.1,8.48
13.2,8.840000000000002
13.3,9.208
13.4,9.600000000000001
13.5,10.008000000000001
13.6,10.432
13.7,10.872
13.8,11.336
13.9,11.824
14.0,12.328000000000001
14.1,12.856000000000002
14.2,13.408000000000001
14.3,13.984000000000002
14.4,14.584000000000001
14.5,15.216000000000001
14.6,15.863999999999999
14.7,16.544
14.8,17.256
14.9,18.0
15.0,18.768
15.1,19.590608935949312
15.2,20.439997977220315
15.3,21.332323352900328
15.4,22.259716338871826
15.5,23.230347772529885
15.6,24.244376184400576
15.7,25.29390654704122
15.8,26.39519144642938
15.9,27.540340821811114
16.0,28.729505499213023
16.1,29.970924195370227
16.2,31.26477085209855
16.3,32.61121598738579
16.4,34.010426079466
16.5,35.47069665396077
16.6,36.98407271451566
16.7,38.56701688460359
16.8,40.203408369639824
16.9,41.90974245683633
17.0,43.67803104322473
17.1,45.52483444603691
17.2,47.433951881634385
17.3,49.421974480099855
17.4,51.48910886340032
17.5,53.627310029171426
17.6,55.85324618379027
17.7,58.15886745596821
17.8,60.56090226374214
17.9,63.043006847820614
18.0,65.62193540504705
18.1,68.29786198204181
18.2,71.07077940654416
18.3,73.94891658689728
